"PVWatts: Hourly PV Performance Data"
"Requested Location:","-37.5310668,143.8158656"
"Location:","BALLARAT AERODROME, AUSTRALIA"
"Lat (deg S):","37.52"
"Long (deg E):","143.78"
"Elev (m):","436"
"DC System Size (kW):","1500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","10"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","13.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"12","5","23","0","0","16.2","2.2","0","16.2","0","0"
"12","6","0","0","0","17.3","2.4","0","17.3","0","0"
"12","6","1","0","0","18.8","1.5","0","18.8","0","0"
"12","6","2","0","0","19.8","2.5","0","19.8","0","0"
"12","6","3","0","0","20.9","2.4","0","20.9","0","0"
"12","6","4","0","2","20.7","2.6","0","20.7","0","0"
"12","6","5","6","52","22.6","1.9","56.793","22.385","73598.281","66057.594"
"12","6","6","24","160","23.2","1.9","169.066","26.277","215023.281","207305.25"
"12","6","7","58","282","24.8","3.6","310.041","30.763","386627.063","378000.063"
"12","6","8","86","391","24.5","2.9","440.445","34.314","541287.813","531189.875"
"12","6","9","92","479","25.1","3.9","538.992","36.37","656843.063","645242.813"
"12","6","10","82","545","25.9","2.6","601.134","40.472","718155.313","705617.938"
"12","6","11","73","579","26.2","6.5","629.089","36.489","766882.375","753530.938"
"12","6","12","73","579","26.3","7.6","629.648","35.662","770735.875","757317.375"
"12","6","13","84","543","25.6","10.3","602.983","32.919","748029.125","734999.875"
"12","6","14","95","476","25.5","8.7","542.266","32.814","672754.125","660920"
"12","6","15","91","387","24.4","8.6","444.309","30.314","557266.563","546981.438"
"12","6","16","62","280","22.5","7.7","312.516","26.741","397858.5","389145.5"
"12","6","17","27","159","21.7","7.1","168.506","23.729","217101.063","209376.578"
"12","6","18","7","52","20.4","6.1","53.049","20.428","69286.375","61742.977"
"12","6","19","0","2","21.2","4.6","1.956","20.021","2580.008","0"
"12","6","20","0","0","18.9","4.5","0","18.9","0","0"
"12","6","21","0","0","18.9","4.2","0","18.9","0","0"
"12","6","22","0","0","19.4","4.1","0","19.4","0","0"
"12","6","23","0","0","20.7","4.1","0","20.7","0","0"
"12","7","0","0","0","21.5","4.5","0","21.5","0","0"
"12","7","1","0","0","22","4.1","0","22","0","0"
"12","7","2","0","0","23.1","5.1","0","23.1","0","0"
"12","7","3","0","0","23.8","5.3","0","23.8","0","0"
"12","7","4","0","2","25.1","7.2","0","25.1","0","0"
