"PVWatts: Hourly PV Performance Data"
"Requested Location:","73-987 Makako Bay Dr, Kailua-Kona"
"Location:","Lat, Lon: 19.73, -156.06"
"Lat (deg N):","19.73"
"Long (deg W):","156.06"
"Elev (m):","0"
"DC System Size (kW):","350"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.425"
"Capacity Factor (%)","19.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","12","21","0","0","21","3","0","21","0","0"
"1","12","22","0","0","21","3","0","21","0","0"
"1","12","23","0","0","22","3","0","22","0","0"
"1","13","0","0","0","22","3","0","22","0","0"
"1","13","1","0","0","22","2","0","22","0","0"
"1","13","2","0","0","22","2","0","22","0","0"
"1","13","3","0","0","22","2","0","22","0","0"
"1","13","4","0","0","22","2","0","22","0","0"
"1","13","5","0","0","21","2","0","21","0","0"
"1","13","6","0","0","21","2","0","21","0","0"
"1","13","7","306","29","22","1","116.856","23.625","29810.275","28049.178"
"1","13","8","656","61","22","1","379.251","32.456","103892.422","101766.32"
"1","13","9","794","77","22","1","615.5","40.619","168778.625","165833.703"
"1","13","10","859","88","23","1","796","47.636","213014.188","209243.859"
"1","13","11","875","102","23","1","908.562","51.408","239050.141","234692.719"
"1","13","12","874","110","24","1","947.176","53.795","246158.688","241627.938"
"1","13","13","853","114","24","1","914.467","53.062","238504.438","234160.094"
"1","13","14","823","107","23","1","804.552","49.029","213879.078","210090.453"
"1","13","15","331","207","23","1","451.417","38.636","126029.102","123676.039"
"1","13","16","0","89","23","0","86.016","28.701","25416.818","23658.283"
"1","13","17","279","40","22","0","125.2","25.586","32642.91","30879.027"
"1","13","18","0","0","22","0","0","22","0","0"
"1","13","19","0","0","22","0","0","22","0","0"
"1","13","20","0","0","22","0","0","22","0","0"
"1","13","21","0","0","22","0","0","22","0","0"
"1","13","22","0","0","22","1","0","22","0","0"
"1","13","23","0","0","22","1","0","22","0","0"
"1","14","0","0","0","22","2","0","22","0","0"
"1","14","1","0","0","22","2","0","22","0","0"
"1","14","2","0","0","22","2","0","22","0","0"
"1","14","3","0","0","22","2","0","22","0","0"
"1","14","4","0","0","22","2","0","22","0","0"
"1","14","5","0","0","22","3","0","22","0","0"
"1","14","6","0","0","22","3","0","22","0","0"
"1","14","7","367","26","22","4","127.923","23.412","32073.195","30309.945"
"1","14","8","703","53","22","4","389.987","29.368","108148.672","105983.141"
"1","14","9","830","67","23","4","623.641","35.87","175035.5","171987"
"1","14","10","889","77","23","5","807.782","38.484","226555.875","222489.563"
"1","14","11","890","97","24","5","917.025","41.871","253624.703","248905.875"
"1","14","12","897","101","24","5","959.64","42.856","264229.438","259232.875"
"1","14","13","879","103","24","4","920.481","44.132","251680.813","247011.563"
"1","14","14","848","96","23","4","808.675","40.773","224373.281","220356.031"
"1","14","15","785","85","23","4","634.821","36.927","177788.219","174692.766"
